gate,block,minute,symbol,feature,nan_mismatch,max_rel
1a_full,micro,10,ADAUSDT,rskew_30,0,1.2381602687572268e-10
1a_full,micro,10,ADAUSDT,rskew_30_xrank,0,0.0
1a_full,micro,10,ADAUSDT,rkurt_30,0,1.1024147994476152e-07
1a_full,micro,10,ADAUSDT,rkurt_30_xrank,0,0.0
1a_full,micro,10,ADAUSDT,roll_30,0,0.0
1a_full,micro,10,ADAUSDT,roll_30_xrank,0,0.0
1a_full,micro,10,ADAUSDT,amihud_30,0,0.0
1a_full,micro,10,ADAUSDT,amihud_30_xrank,0,0.0
1a_full,micro,10,ADAUSDT,kyle_30,0,2.436135559946706e-08
1a_full,micro,10,ADAUSDT,kyle_30_xrank,0,0.0
1a_full,micro,10,ADAUSDT,vpin_30,0,0.0
1a_full,micro,10,ADAUSDT,vpin_30_xrank,0,0.0
1a_full,micro,10,ADAUSDT,jump_30,0,1.1044046788200035e-09
1a_full,micro,10,ADAUSDT,jump_30_xrank,0,0.0
1a_full,micro,10,ADAUSDT,vratio_30,0,0.0
1a_full,micro,10,ADAUSDT,vratio_30_xrank,0,0.0
1a_full,micro,10,ADAUSDT,cvd_slope_30,0,0.0
1a_full,micro,10,ADAUSDT,cvd_slope_30_xrank,0,0.0
1a_full,micro,10,ADAUSDT,signac_30,0,0.0
1a_full,micro,10,ADAUSDT,signac_30_xrank,0,0.0
1a_full,micro,10,ADAUSDT,sflow_30,0,0.0
1a_full,micro,10,ADAUSDT,sflow_30_xrank,0,0.0
1a_full,micro,10,ADAUSDT,rskew_120,0,0.0
1a_full,micro,10,ADAUSDT,rskew_120_xrank,0,0.0
1a_full,micro,10,ADAUSDT,rkurt_120,0,3.191459896356719e-08
1a_full,micro,10,ADAUSDT,rkurt_120_xrank,0,0.0
1a_full,micro,10,ADAUSDT,roll_120,0,0.0
1a_full,micro,10,ADAUSDT,roll_120_xrank,0,0.0
1a_full,micro,10,ADAUSDT,amihud_120,0,0.0
1a_full,micro,10,ADAUSDT,amihud_120_xrank,0,0.0
1a_full,micro,10,ADAUSDT,kyle_120,0,0.0
1a_full,micro,10,ADAUSDT,kyle_120_xrank,0,0.0
1a_full,micro,10,ADAUSDT,vpin_120,0,0.0
1a_full,micro,10,ADAUSDT,vpin_120_xrank,0,0.0
1a_full,micro,10,ADAUSDT,jump_120,0,0.0
1a_full,micro,10,ADAUSDT,jump_120_xrank,0,0.0
1a_full,micro,10,ADAUSDT,vratio_120,0,0.0
1a_full,micro,10,ADAUSDT,vratio_120_xrank,0,0.0
1a_full,micro,10,ADAUSDT,cvd_slope_120,0,0.0
1a_full,micro,10,ADAUSDT,cvd_slope_120_xrank,0,0.0
1a_full,micro,10,ADAUSDT,signac_120,0,0.0
1a_full,micro,10,ADAUSDT,signac_120_xrank,0,0.0
1a_full,micro,10,ADAUSDT,sflow_120,0,0.0
